epoch,accuracy,loss,val_accuracy,val_loss,class_1_val_acc,class_2_val_acc
0,0.9185,0.17879599946609231,0.9712500000000001,0.06465294410008937,0.9712500000000001,0.06465294410008937,0.99,0.99
1,0.9765,0.05908664261000013,0.9775,0.04996336890508246,0.9775,0.04996336890508246,0.985,0.985
2,0.975,0.0664677334861699,0.97875,0.05945683937025024,0.97875,0.05945683937025024,0.9725,0.9725
3,0.9935,0.01957705076547484,0.9775,0.04874937407016659,0.9775,0.04874937407016659,0.9775,0.9775
4,0.9905,0.031968305855987894,0.975,0.06545289943023817,0.975,0.06545289943023817,0.975,0.975
5,0.9965,0.013568606025942245,0.9825,0.0408203736772748,0.9825,0.0408203736772748,0.9825,0.9825
6,1.0,0.0019906420895978096,0.985,0.03154496756919909,0.985,0.03154496756919909,0.995,0.995
7,1.0,0.0004501732848028528,0.9875,0.0267750281126375,0.9875,0.0267750281126375,0.99,0.99
8,1.0,0.00026608606295853933,0.98375,0.02914339009240292,0.98375,0.02914339009240292,0.99,0.99
9,1.0,0.00020813874973995894,0.985,0.028359101978531774,0.985,0.028359101978531774,0.99,0.99
